gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
APOE,599.937711903923,2.30422224365451,0.111782051744593,1.35592216984478e-95,3.73169151457996e-93
ZFHX2,655.724084908371,1.85782001596188,0.0905410248531197,1.08550971951425e-94,2.94540066851297e-92
PIK3R2,8751.08855746365,1.30237525165312,0.0639697673408949,1.59938674329212e-93,4.27947022354483e-91
EXOSC8,1218.6677621219,-1.20072407069771,0.0589444514194749,4.03723739076679e-93,1.06544353880989e-90
GDAP1L1,1690.57941633186,1.6017710451387,0.0789082720969356,7.12218990118814e-93,1.8541755195458e-90
MXD4,3807.09857238791,1.12785362803633,0.0554225993178596,1.88332090510077e-92,4.83762363156884e-90
SORBS3,1354.54081019085,-1.67906925238822,0.0827797109011919,2.56412905068187e-92,6.49972975807714e-90
ARHGDIG,337.374891065469,1.98777642098498,0.098159098085225,4.30729848920945e-92,1.07766370642364e-89
GARNL3,895.864121257877,1.25864759770174,0.0623729653552393,8.37994591012367e-92,2.06973920459657e-89
SARM1,4047.56818514101,0.845849007907256,0.0418493918394789,1.27719337559183e-91,3.11457346592108e-89
WDR76,962.9533152267,-2.03730668712656,0.101290081338187,2.50666734361472e-91,6.0363682968422e-89
RIMBP2,4683.7149813003,0.882587146404837,0.0441108968008595,1.30173970582678e-90,3.0960512879942e-88
SPATS2L,3444.67199877856,-1.27314022800405,0.063445085316645,1.53040705605227e-90,3.59552340668866e-88
TACC3,4126.33791741372,-1.07983718153243,0.0536489401505524,6.41213428813875e-90,1.48831044651799e-87
NMNAT2,5825.09988253719,1.11655467909428,0.0560496766015026,1.72953097025019e-89,3.96659692165119e-87
TUBB4B,10297.1683553476,-0.966637281638488,0.0482399873142437,1.89727015945492e-89,4.30010701434107e-87
CCNG2,818.854629453398,1.32704134833193,0.066747125228447,5.7625236858724e-89,1.29087231172479e-86
TMEM106C,1498.6177355805,-1.0281829643016,0.0518108209934833,1.9385791316039e-88,4.29272723797116e-86
VSTM2A,990.711143207178,2.27072365759858,0.115082520889117,4.49245813287362e-88,9.83490976475117e-86
RAB3A,1075.92222794744,1.78388563683362,0.0907586962820303,3.39611222052038e-87,7.35124740767698e-85
EXOSC9,1052.86824294247,-1.2446492246032,0.0634040715129354,1.3284148599383e-86,2.84354580852347e-84
PIM1,808.163318334349,-1.35965999431093,0.069333188314769,1.41144087910554e-86,2.98806687208443e-84
CNN2,2193.28876452004,-1.71167942728099,0.0876288985440228,2.09256860990537e-86,4.3818841597638e-84
MGAT4B,13174.3233110238,0.926810504685864,0.047443016208571,1.58866863634973e-85,3.2909356214277e-83
GUSB,1882.23850988489,-0.978125111121745,0.0499377732823911,1.70081015215479e-85,3.48575612566617e-83
HNRNPD,12554.6170948689,-0.972852197653067,0.0497247302695376,1.75794873718696e-85,3.56493499177966e-83
NRSN1,485.957874578419,1.72913974942368,0.0892451732790936,6.19084386826823e-85,1.24236049085612e-82
PPP2R5B,1071.21068589302,1.13957720887292,0.0588430460901975,2.90800642170123e-84,5.77554058907982e-82
ATP2B2,316.852002200432,3.10694983086547,0.161265488180623,3.81108714617833e-84,7.49189733378832e-82
GAA,3626.46848325525,1.36622780710526,0.0708211905350864,6.65398834460155e-84,1.29483924705807e-81
EMP2,1055.77168405379,-1.80775361486033,0.0939722787239874,8.59335933742425e-84,1.65551067635478e-81
MAPK8IP3,5807.9421023761,1.06349545781504,0.0555498750490017,1.26760365414961e-83,2.41785984130617e-81
MRPL11,1271.35577580524,-1.07752109315423,0.0560314083813818,2.47499578854372e-83,4.67458763395047e-81
