gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MEIS1,1187.39292608418,1.11609684356854,0.0625195521709423,8.4130343550346e-72,2.1753703118018e-69
NEBL,124.392201630861,3.17332731578552,0.180085825565823,1.4094027669707e-70,3.59298451861545e-68
KIF5C,2562.38809906837,0.993089097850479,0.0563769818643499,1.45089146419671e-70,3.64737993082783e-68
SPATS2L,3444.67199877856,1.05590812366661,0.0606094343219083,5.22687007895622e-69,1.2959773757412e-66
PDE11A,283.5146838465,1.987296824133,0.114272294134595,8.08369681515112e-69,1.9772285453275e-66
BHLHE40,1865.29859691066,1.128386309786,0.0651799310275858,4.15938904330754e-68,1.00379922245155e-65
NFKBIE,1402.4828301889,-1.18566079372737,0.0685472517629337,4.39389725995741e-68,1.04644132112144e-65
KRT18,583.04247965728,2.07001616164781,0.120369713592866,1.23887243312597e-67,2.91215468046493e-65
TUBB4A,1642.54812964923,1.19926926746117,0.0696072317977514,1.56869013020857e-67,3.64016555856091e-65
FXYD5,306.553516484419,1.80471659986806,0.104935487718858,1.69584115341741e-67,3.88540821226014e-65
EFNB2,2373.15818263591,1.31915033656455,0.0768887682156133,3.16226989561828e-67,7.15463563883635e-65
CDKN1A,1417.05934894733,1.31663394643829,0.0770262044991127,1.13693593721885e-66,2.54056055106928e-64
PCDH9,2098.93839072134,-1.04618785282398,0.0619600455142003,5.72251130581845e-66,1.26313969067456e-63
ACP6,433.647847844163,1.80934096577691,0.107100425334777,2.95310925082638e-65,6.43991294457319e-63
HAND1,5253.04297292951,-1.38400214810397,0.0826982731051992,2.37918226912872e-64,5.12657131800356e-62
TIMP2,9848.79173873533,0.694900755584362,0.040971315740991,5.27861423995233e-64,1.12403432638985e-61
CACNA1H,2041.48610672671,1.18173767206098,0.0706054230041345,7.75173714813198e-64,1.63147026024638e-61
ARHGEF28,1532.43992174389,-1.17836344771021,0.0704827287832148,8.38836595539997e-64,1.74516579072114e-61
AJUBA,254.147554123516,1.6681461173814,0.100038605506316,2.37781649920836e-63,4.89073620859902e-61
CCDC3,1687.59148048704,1.35379052765998,0.0810160220082154,2.83786614361976e-63,5.77139069657502e-61
COL26A1,213.400152610565,3.07866280341094,0.185542948286988,1.03318286671546e-62,2.0778455430611e-60
PGPEP1,384.050790327003,1.70526654952291,0.10319030973399,1.38110268491381e-62,2.74702841724615e-60
SOCS2,1001.16245309851,1.3984973223616,0.084702724202752,1.83192595212142e-62,3.60411518841279e-60
SGIP1,368.061965109975,1.65562320365141,0.100793707740899,9.16588246291993e-62,1.7838975546113e-59
AARS2,4457.11397183019,-0.81071944478068,0.0496949325792904,7.89202289578466e-61,1.51963419589045e-58
CYP26A1,1170.06810569105,9.35325045748341,0.572428081107256,1.05579603994521e-60,2.01156929715877e-58
LTBP3,5554.57220351115,1.27112215487293,0.078302041717115,2.34271314441016e-60,4.41699040769e-58
DOCK11,1041.43603273465,1.26142999398022,0.0780385516698447,2.71772680728055e-60,5.07122218678124e-58
SAMD9L,166.80866414984,3.95845214499548,0.244442439125143,2.98776463559589e-60,5.51821835758017e-58
