gene	condition	cluster_v2
SYP	PB+RA and PB regulated	5
SYT1	PB+RA and PB regulated	5
SYT2	PB+RA and PB regulated	5
SYT3	PB+RA and PB regulated	5
SYT5	PB+RA and PB regulated	5
SYT7	PB+RA and PB regulated	5
TAC3	PB+RA and PB regulated	5
TAF1A-AS1	PB+RA and PB regulated	5
TAF1C	PB+RA and PB regulated	5
TAF9	PB+RA and PB regulated	5
TAF9P3	PB+RA and PB regulated	5
TAGLN	PB+RA and PB regulated	5
TAGLN3	PB+RA and PB regulated	5
TAL1	PB+RA and PB regulated	5
TAMALIN	PB+RA and PB regulated	5
TBC1D8-AS1	PB+RA and PB regulated	5
TBCK	PB+RA and PB regulated	5
TBKBP1	PB+RA and PB regulated	5
TCAF1	PB+RA and PB regulated	5
TCEA2	PB+RA and PB regulated	5
TCEAL1	PB+RA and PB regulated	5
TCEAL4	PB+RA and PB regulated	5
TCEANC	PB+RA and PB regulated	5
TCF25	PB+RA and PB regulated	5
TCP11L2	PB+RA and PB regulated	5
TCTA	PB+RA and PB regulated	5
TCTN1	PB+RA and PB regulated	5
TDH	PB+RA and PB regulated	5
TDRD12	PB+RA and PB regulated	5
TDRKH	PB+RA and PB regulated	5
TDRKH-AS1	PB+RA and PB regulated	5
TDRP	PB+RA and PB regulated	5
TECPR1	PB+RA and PB regulated	5
TEKT4P2	PB+RA and PB regulated	5
TENM3-AS1	PB+RA and PB regulated	5
TEPSIN	PB+RA and PB regulated	5
TERF2IP	PB+RA and PB regulated	5
TESC	PB+RA and PB regulated	5
TEX2	PB+RA and PB regulated	5
TEX45	PB+RA and PB regulated	5
TFAMP1	PB+RA and PB regulated	5
TFDP2	PB+RA and PB regulated	5
TH	PB+RA and PB regulated	5
THBS3	PB+RA and PB regulated	5
THBS4	PB+RA and PB regulated	5
THEGL	PB+RA and PB regulated	5
THEM5	PB+RA and PB regulated	5
THNSL1	PB+RA and PB regulated	5
TIAM2	PB+RA and PB regulated	5
TIGD1	PB+RA and PB regulated	5
TIGD7	PB+RA and PB regulated	5
TIMM23B	PB+RA and PB regulated	5
TIMP3	PB+RA and PB regulated	5
TLCD3B	PB+RA and PB regulated	5
TLL2	PB+RA and PB regulated	5
TLN2	PB+RA and PB regulated	5
TLX2	PB+RA and PB regulated	5
TMCC1-DT	PB+RA and PB regulated	5
TMEM114	PB+RA and PB regulated	5
TMEM120B	PB+RA and PB regulated	5
TMEM130	PB+RA and PB regulated	5
TMEM132A	PB+RA and PB regulated	5
TMEM132E	PB+RA and PB regulated	5
TMEM150A	PB+RA and PB regulated	5
TMEM158	PB+RA and PB regulated	5
TMEM167A	PB+RA and PB regulated	5
TMEM169	PB+RA and PB regulated	5
TMEM17	PB+RA and PB regulated	5
TMEM175	PB+RA and PB regulated	5
TMEM178A	PB+RA and PB regulated	5
TMEM178B	PB+RA and PB regulated	5
TMEM179	PB+RA and PB regulated	5
TMEM179B	PB+RA and PB regulated	5
TMEM181	PB+RA and PB regulated	5
TMEM182	PB+RA and PB regulated	5
TMEM185AP1	PB+RA and PB regulated	5
TMEM187	PB+RA and PB regulated	5
TMEM192	PB+RA and PB regulated	5
TMEM198B	PB+RA and PB regulated	5
TMEM217	PB+RA and PB regulated	5
TMEM241	PB+RA and PB regulated	5
TMEM249	PB+RA and PB regulated	5
TMEM25	PB+RA and PB regulated	5
TMEM38A	PB+RA and PB regulated	5
TMEM45A	PB+RA and PB regulated	5
TMEM45B	PB+RA and PB regulated	5
TMEM53	PB+RA and PB regulated	5
TMEM59	PB+RA and PB regulated	5
TMEM59L	PB+RA and PB regulated	5
TMEM63B	PB+RA and PB regulated	5
TMEM63C	PB+RA and PB regulated	5
TMEM80	PB+RA and PB regulated	5
TMEM86A	PB+RA and PB regulated	5
TMEM9B	PB+RA and PB regulated	5
TMOD2	PB+RA and PB regulated	5
TMPRSS9	PB+RA and PB regulated	5
TNFRSF14	PB+RA and PB regulated	5
TNFRSF1B	PB+RA and PB regulated	5
TNFSF4	PB+RA and PB regulated	5
TNIK	PB+RA and PB regulated	5
TNKS2-AS1	PB+RA and PB regulated	5
TNN	PB+RA and PB regulated	5
TOGARAM2	PB+RA and PB regulated	5
TOLLIP	PB+RA and PB regulated	5
TOM1	PB+RA and PB regulated	5
TOMM34	PB+RA and PB regulated	5
TOMM7	PB+RA and PB regulated	5
TP53AIP1	PB+RA and PB regulated	5
TP53INP1	PB+RA and PB regulated	5
TP53TG3HP	PB+RA and PB regulated	5
TPCN1	PB+RA and PB regulated	5
TPD52L2	PB+RA and PB regulated	5
TPM2	PB+RA and PB regulated	5
TPRG1	PB+RA and PB regulated	5
TPRG1L	PB+RA and PB regulated	5
TPTE2P1	PB+RA and PB regulated	5
TRAF6	PB+RA and PB regulated	5
TRAM1L1	PB+RA and PB regulated	5
TRAPPC14	PB+RA and PB regulated	5
TRAPPC2	PB+RA and PB regulated	5
TRAPPC6A	PB+RA and PB regulated	5
TRAPPC6B	PB+RA and PB regulated	5
TRIM2	PB+RA and PB regulated	5
TRIM29	PB+RA and PB regulated	5
TRIM3	PB+RA and PB regulated	5
TRIM36	PB+RA and PB regulated	5
TRIM46	PB+RA and PB regulated	5
TRIM54	PB+RA and PB regulated	5
TRIM62	PB+RA and PB regulated	5
TRIM67	PB+RA and PB regulated	5
TRIM71	PB+RA and PB regulated	5
TRIM74	PB+RA and PB regulated	5
TRMT12	PB+RA and PB regulated	5
TRPM5	PB+RA and PB regulated	5
TRPM6	PB+RA and PB regulated	5
TRPM8	PB+RA and PB regulated	5
TRPV1	PB+RA and PB regulated	5
TSC22D1-AS1	PB+RA and PB regulated	5
TSNARE1	PB+RA and PB regulated	5
TSNAXIP1	PB+RA and PB regulated	5
TSPAN32	PB+RA and PB regulated	5
TSPAN7	PB+RA and PB regulated	5
TSPYL1	PB+RA and PB regulated	5
TSPYL2	PB+RA and PB regulated	5
TSPYL4	PB+RA and PB regulated	5
TSTD3	PB+RA and PB regulated	5
TTC12	PB+RA and PB regulated	5
TTC19	PB+RA and PB regulated	5
TTC21A	PB+RA and PB regulated	5
TTC23	PB+RA and PB regulated	5
TTC39A	PB+RA and PB regulated	5
TTC39C	PB+RA and PB regulated	5
TTC9B	PB+RA and PB regulated	5
TTLL11	PB+RA and PB regulated	5
TTLL13P	PB+RA and PB regulated	5
TTLL3	PB+RA and PB regulated	5
TTN-AS1	PB+RA and PB regulated	5
TTPAL	PB+RA and PB regulated	5
TUB	PB+RA and PB regulated	5
TUBA1C	PB+RA and PB regulated	5
TUBA3FP	PB+RA and PB regulated	5
TUBB2A	PB+RA and PB regulated	5
TUBB4A	PB+RA and PB regulated	5
TUBGCP6	PB+RA and PB regulated	5
TUFT1	PB+RA and PB regulated	5
TVP23C	PB+RA and PB regulated	5
TXNIP	PB+RA and PB regulated	5
TYRO3P	PB+RA and PB regulated	5
UAP1L1	PB+RA and PB regulated	5
UBA6-AS1	PB+RA and PB regulated	5
UBAC2-AS1	PB+RA and PB regulated	5
UBALD1	PB+RA and PB regulated	5
UBE2Q2	PB+RA and PB regulated	5
UBL3	PB+RA and PB regulated	5
UBXN8	PB+RA and PB regulated	5
UCKL1	PB+RA and PB regulated	5
UCN	PB+RA and PB regulated	5
UCN3	PB+RA and PB regulated	5
UICLM	PB+RA and PB regulated	5
ULK1	PB+RA and PB regulated	5
ULK4	PB+RA and PB regulated	5
UNC13A	PB+RA and PB regulated	5
UNC13B	PB+RA and PB regulated	5
UNC5A	PB+RA and PB regulated	5
UNC5B	PB+RA and PB regulated	5
UNC5B-AS1	PB+RA and PB regulated	5
UNC79	PB+RA and PB regulated	5
UNC80	PB+RA and PB regulated	5
UPB1	PB+RA and PB regulated	5
UPF3AP3	PB+RA and PB regulated	5
URB1	PB+RA and PB regulated	5
URB1-AS1	PB+RA and PB regulated	5
UROS	PB+RA and PB regulated	5
USP20	PB+RA and PB regulated	5
USP32P2	PB+RA and PB regulated	5
VAMP2	PB+RA and PB regulated	5
VAV2	PB+RA and PB regulated	5
VEGFA	PB+RA and PB regulated	5
VENTX	PB+RA and PB regulated	5
VIPAS39	PB+RA and PB regulated	5
VIPR2	PB+RA and PB regulated	5
VLDLR	PB+RA and PB regulated	5
VLDLR-AS1	PB+RA and PB regulated	5
VN1R1	PB+RA and PB regulated	5
VN1R108P	PB+RA and PB regulated	5
VPS13C	PB+RA and PB regulated	5
VPS33B-DT	PB+RA and PB regulated	5
VPS39	PB+RA and PB regulated	5
VPS9D1	PB+RA and PB regulated	5
VSTM2A	PB+RA and PB regulated	5
VSTM2A-OT1	PB+RA and PB regulated	5
VSTM5	PB+RA and PB regulated	5
VTCN1	PB+RA and PB regulated	5
VWA2	PB+RA and PB regulated	5
VWA5B2	PB+RA and PB regulated	5
VWCE	PB+RA and PB regulated	5
VWDE	PB+RA and PB regulated	5
VWF	PB+RA and PB regulated	5
WAC-AS1	PB+RA and PB regulated	5
WARS2-AS1	PB+RA and PB regulated	5
WASHC2A	PB+RA and PB regulated	5
WASIR2	PB+RA and PB regulated	5
WBP1	PB+RA and PB regulated	5
WDFY3-AS2	PB+RA and PB regulated	5
WDR11-AS1	PB+RA and PB regulated	5
WDR37	PB+RA and PB regulated	5
WDR45	PB+RA and PB regulated	5
WDR86-AS1	PB+RA and PB regulated	5
WFS1	PB+RA and PB regulated	5
WIPI1	PB+RA and PB regulated	5
WNK4	PB+RA and PB regulated	5
WNT5B	PB+RA and PB regulated	5
WNT6	PB+RA and PB regulated	5
WSPAR	PB+RA and PB regulated	5
WWC1	PB+RA and PB regulated	5
XKR7	PB+RA and PB regulated	5
XKR9	PB+RA and PB regulated	5
XPNPEP1	PB+RA and PB regulated	5
YBEY	PB+RA and PB regulated	5
YIPF2	PB+RA and PB regulated	5
YIPF3	PB+RA and PB regulated	5
YJEFN3	PB+RA and PB regulated	5
YPEL2	PB+RA and PB regulated	5
YPEL3	PB+RA and PB regulated	5
YPEL5	PB+RA and PB regulated	5
ZAP70	PB+RA and PB regulated	5
ZBBX	PB+RA and PB regulated	5
ZBED3	PB+RA and PB regulated	5
ZBED5-AS1	PB+RA and PB regulated	5
ZBED6CL	PB+RA and PB regulated	5
ZBTB11-AS1	PB+RA and PB regulated	5
ZBTB4	PB+RA and PB regulated	5
ZBTB49	PB+RA and PB regulated	5
ZBTB7C	PB+RA and PB regulated	5
ZC3H18-AS1	PB+RA and PB regulated	5
ZCWPW1	PB+RA and PB regulated	5
ZDHHC11	PB+RA and PB regulated	5
ZDHHC14	PB+RA and PB regulated	5
ZDHHC24	PB+RA and PB regulated	5
ZDHHC8	PB+RA and PB regulated	5
ZDHHC9	PB+RA and PB regulated	5
ZEB1-AS1	PB+RA and PB regulated	5
ZER1	PB+RA and PB regulated	5
ZFAND2A-DT	PB+RA and PB regulated	5
ZFAND3	PB+RA and PB regulated	5
ZFHX2	PB+RA and PB regulated	5
ZFYVE9	PB+RA and PB regulated	5
ZGLP1	PB+RA and PB regulated	5
ZHX3	PB+RA and PB regulated	5
ZMAT3	PB+RA and PB regulated	5
ZNF157	PB+RA and PB regulated	5
ZNF205-AS1	PB+RA and PB regulated	5
ZNF208	PB+RA and PB regulated	5
ZNF22-AS1	PB+RA and PB regulated	5
ZNF239	PB+RA and PB regulated	5
ZNF25	PB+RA and PB regulated	5
ZNF271P	PB+RA and PB regulated	5
ZNF283	PB+RA and PB regulated	5
ZNF300	PB+RA and PB regulated	5
ZNF30-AS1	PB+RA and PB regulated	5
ZNF316	PB+RA and PB regulated	5
ZNF319	PB+RA and PB regulated	5
ZNF337-AS1	PB+RA and PB regulated	5
ZNF350	PB+RA and PB regulated	5
ZNF396	PB+RA and PB regulated	5
ZNF404	PB+RA and PB regulated	5
ZNF420	PB+RA and PB regulated	5
ZNF426-DT	PB+RA and PB regulated	5
ZNF441	PB+RA and PB regulated	5
ZNF467	PB+RA and PB regulated	5
ZNF485	PB+RA and PB regulated	5
ZNF490	PB+RA and PB regulated	5
ZNF491	PB+RA and PB regulated	5
ZNF512	PB+RA and PB regulated	5
ZNF529	PB+RA and PB regulated	5
ZNF541	PB+RA and PB regulated	5
ZNF547	PB+RA and PB regulated	5
ZNF556	PB+RA and PB regulated	5
ZNF571-AS1	PB+RA and PB regulated	5
ZNF578	PB+RA and PB regulated	5
ZNF581	PB+RA and PB regulated	5
ZNF583	PB+RA and PB regulated	5
ZNF585A	PB+RA and PB regulated	5
ZNF589	PB+RA and PB regulated	5
ZNF594	PB+RA and PB regulated	5
ZNF599	PB+RA and PB regulated	5
ZNF610	PB+RA and PB regulated	5
ZNF658	PB+RA and PB regulated	5
ZNF692	PB+RA and PB regulated	5
ZNF720	PB+RA and PB regulated	5
ZNF731P	PB+RA and PB regulated	5
ZNF772	PB+RA and PB regulated	5
ZNF778	PB+RA and PB regulated	5
ZNF780B	PB+RA and PB regulated	5
ZNF781	PB+RA and PB regulated	5
ZNF783	PB+RA and PB regulated	5
ZNF790-AS1	PB+RA and PB regulated	5
ZNF883	PB+RA and PB regulated	5
ZNF99	PB+RA and PB regulated	5
ZSCAN16-AS1	PB+RA and PB regulated	5
ZSWIM8	PB+RA and PB regulated	5
AAAS	all downregulated	1
AARS1	all downregulated	1
AASS	all downregulated	1
AATF	all downregulated	1
ABCB10	all downregulated	1
ABCB6	all downregulated	1
ABCD3	all downregulated	1
ABCE1	all downregulated	1
ABHD11	all downregulated	1
ABHD15	all downregulated	1
ABHD3	all downregulated	1
ABT1	all downregulated	1
ACAT2	all downregulated	1
ACBD6	all downregulated	1
ACD	all downregulated	1
ACOT1	all downregulated	1
ACOT11	all downregulated	1
ACOT2	all downregulated	1
ACOT4	all downregulated	1
ACP3	all downregulated	1
ACTB	all downregulated	1
ACTC1	all downregulated	1
ACTG1P25	all downregulated	1
ACTL10	all downregulated	1
ACTL6A	all downregulated	1
ACVRL1	all downregulated	1
ACYP1	all downregulated	1
ADAM11	all downregulated	1
ADAM15	all downregulated	1
ADAM33	all downregulated	1
ADAM9	all downregulated	1
ADAMTS3	all downregulated	1
ADAMTSL2	all downregulated	1
ADAMTSL5	all downregulated	1
ADCK2	all downregulated	1
ADCY1	all downregulated	1
ADCY3	all downregulated	1
ADCY6-DT	all downregulated	1
ADGRA3	all downregulated	1
ADGRL1-AS1	all downregulated	1
ADGRL2	all downregulated	1
ADI1	all downregulated	1
ADM5	all downregulated	1
ADNP2	all downregulated	1
ADPRS	all downregulated	1
ADRA2C	all downregulated	1
ADRB2	all downregulated	1
ADRM1	all downregulated	1
AEN	all downregulated	1
AFAP1L1	all downregulated	1
AFG3L1P	all downregulated	1
AGBL3	all downregulated	1
AGBL5	all downregulated	1
AGO2	all downregulated	1
AGPAT2	all downregulated	1
AGTRAP	all downregulated	1
AHCTF1	all downregulated	1
AIFM2	all downregulated	1
AIMP1	all downregulated	1
AK6	all downregulated	1
AKAP5	all downregulated	1
AKR7A2	all downregulated	1
AKT1	all downregulated	1
ALDH3B1	all downregulated	1
ALDH7A1	all downregulated	1
ALDOC	all downregulated	1
ALG10	all downregulated	1
ALG6	all downregulated	1
ALG9	all downregulated	1
ALKBH2	all downregulated	1
ALMS1	all downregulated	1
ALYREF	all downregulated	1
AMD1	all downregulated	1
AMMECR1	all downregulated	1
ANAPC10	all downregulated	1
ANAPC11	all downregulated	1
ANAPC15	all downregulated	1
ANAPC4	all downregulated	1
ANKHD1	all downregulated	1
ANKLE2	all downregulated	1
ANKRD13A	all downregulated	1
ANKRD18B	all downregulated	1
ANKRD49	all downregulated	1
ANKRD54	all downregulated	1
ANKRD63	all downregulated	1
ANKRD9	all downregulated	1
ANLN	all downregulated	1
ANO1	all downregulated	1
ANP32A	all downregulated	1
ANP32AP1	all downregulated	1
ANP32B	all downregulated	1
ANP32E	all downregulated	1
ANPEP	all downregulated	1
ANXA2R	all downregulated	1
ANXA5	all downregulated	1
AOPEP	all downregulated	1
AOX1	all downregulated	1
AP1M2	all downregulated	1
AP1S3	all downregulated	1
AP2S1	all downregulated	1
AP3B1	all downregulated	1
AP3S1	all downregulated	1
AP4E1	all downregulated	1
AP5B1	all downregulated	1
APAF1	all downregulated	1
APEX2	all downregulated	1
API5	all downregulated	1
API5P1	all downregulated	1
APIP	all downregulated	1
APLNR	all downregulated	1
APOBEC3B	all downregulated	1
APOBEC3C	all downregulated	1
APOLD1	all downregulated	1
APOO	all downregulated	1
APPL1	all downregulated	1
ARF6	all downregulated	1
ARHGAP10	all downregulated	1
ARHGAP11A	all downregulated	1
ARHGAP11B	all downregulated	1
ARHGAP19	all downregulated	1
ARHGAP33	all downregulated	1
ARHGAP42-AS1	all downregulated	1
ARHGAP45	all downregulated	1
ARHGEF10	all downregulated	1
ARHGEF16	all downregulated	1
ARHGEF19	all downregulated	1
ARHGEF39	all downregulated	1
ARHGEF6	all downregulated	1
ARID3A	all downregulated	1
ARID5B	all downregulated	1
ARL13B	all downregulated	1
ARL3	all downregulated	1
ARL4A	all downregulated	1
ARL5B	all downregulated	1
ARL6IP1	all downregulated	1
ARL6IP4	all downregulated	1
ARL6IP6	all downregulated	1
ARMT1	all downregulated	1
ARPIN	all downregulated	1
ARRB2	all downregulated	1
ARSK	all downregulated	1
ASCL1	all downregulated	1
ASF1B	all downregulated	1
ASH2L	all downregulated	1
ASPH	all downregulated	1
ASPM	all downregulated	1
ASRGL1	all downregulated	1
ASTE1	all downregulated	1
ASXL2	all downregulated	1
ATAD2	all downregulated	1
ATAD3A	all downregulated	1
ATAD5	all downregulated	1
ATF1	all downregulated	1
ATG3	all downregulated	1
ATG4C	all downregulated	1
ATG4D	all downregulated	1
ATG5	all downregulated	1
ATIC	all downregulated	1
ATL2	all downregulated	1
ATL3	all downregulated	1
ATOH1	all downregulated	1
ATOH8	all downregulated	1
ATP11B	all downregulated	1
ATP23	all downregulated	1
ATP5MPL	all downregulated	1
ATP8B3	all downregulated	1
ATPSCKMT	all downregulated	1
ATRAID	all downregulated	1
AURKA	all downregulated	1
AURKAIP1	all downregulated	1
AURKB	all downregulated	1
AVPI1	all downregulated	1
B3GALNT2	all downregulated	1
B3GLCT	all downregulated	1
B4GALT6	all downregulated	1
B9D2	all downregulated	1
BAD	all downregulated	1
BAG2	all downregulated	1
BAHCC1	all downregulated	1
BAK1	all downregulated	1
BAMBI	all downregulated	1
BANF1	all downregulated	1
BANF1P3	all downregulated	1
BARD1	all downregulated	1
BAZ1A	all downregulated	1
BAZ1B	all downregulated	1
BBS7	all downregulated	1
BCAN	all downregulated	1
BCCIP	all downregulated	1
BCL2L12	all downregulated	1
BCL6B	all downregulated	1
BCL7B	all downregulated	1
BCL7C	all downregulated	1
BCL9L	all downregulated	1
BCYRN1	all downregulated	1
BDH1	all downregulated	1
BEND3	all downregulated	1
BEND4	all downregulated	1
BICC1	all downregulated	1
BIRC5	all downregulated	1
BLM	all downregulated	1
BLMH	all downregulated	1
BLOC1S1	all downregulated	1
BLVRB	all downregulated	1
BMI1	all downregulated	1
BMP2K	all downregulated	1
BMPER	all downregulated	1
BMPR1AP1	all downregulated	1
BNIP1	all downregulated	1
BNIP2	all downregulated	1
BORA	all downregulated	1
BRAT1	all downregulated	1
BRCA1	all downregulated	1
BRCA2	all downregulated	1
BRD7	all downregulated	1
BRD7P2	all downregulated	1
BRI3BP	all downregulated	1
BRIP1	all downregulated	1
BRIX1	all downregulated	1
BRMS1	all downregulated	1
BRPF1	all downregulated	1
BSCL2	all downregulated	1
BTG3	all downregulated	1
BTN1A1	all downregulated	1
BTN2A3P	all downregulated	1
BUB1	all downregulated	1
BUB1B	all downregulated	1
BUB3	all downregulated	1
BUD13	all downregulated	1
BUD31	all downregulated	1
BZW1	all downregulated	1
BZW2	all downregulated	1
C12orf57	all downregulated	1
C12orf65	all downregulated	1
C14orf180	all downregulated	1
C14orf93	all downregulated	1
C16orf95-DT	all downregulated	1
C17orf58	all downregulated	1
C19orf47	all downregulated	1
C19orf48	all downregulated	1
C19orf81	all downregulated	1
C1GALT1	all downregulated	1
C1orf112	all downregulated	1
C1orf174	all downregulated	1
C1orf35	all downregulated	1
C1QL4	all downregulated	1
C1QTNF2	all downregulated	1
C21orf58	all downregulated	1
C21orf91	all downregulated	1
C2orf69	all downregulated	1
C3orf14	all downregulated	1
C4orf46	all downregulated	1
C5	all downregulated	1
C6orf223	all downregulated	1
C7orf50	all downregulated	1
C8orf48	all downregulated	1
C8orf82	all downregulated	1
C8orf88	all downregulated	1
C9orf163	all downregulated	1
C9orf64	all downregulated	1
CABLES2	all downregulated	1
CABP1	all downregulated	1
CACNG5	all downregulated	1
CACYBP	all downregulated	1
CACYBPP2	all downregulated	1
CALCRL	all downregulated	1
CALHM2	all downregulated	1
CALML4	all downregulated	1
CALU	all downregulated	1
CAMK2N2	all downregulated	1
CAND1	all downregulated	1
CAPN15	all downregulated	1
CARHSP1	all downregulated	1
CARMIL1	all downregulated	1
CARS2	all downregulated	1
CASKIN2	all downregulated	1
CASP3	all downregulated	1
CASP7	all downregulated	1
CASP8AP2	all downregulated	1
CBLN1	all downregulated	1
CBR3	all downregulated	1
CBR3-AS1	all downregulated	1
CBX2	all downregulated	1
CBX3	all downregulated	1
CBX3P9	all downregulated	1
CBX5	all downregulated	1
CCDC116	all downregulated	1
CCDC117	all downregulated	1
CCDC12	all downregulated	1
CCDC121	all downregulated	1
CCDC124	all downregulated	1
CCDC134	all downregulated	1
CCDC137	all downregulated	1
CCDC138	all downregulated	1
CCDC15	all downregulated	1
CCDC150P1	all downregulated	1
CCDC167	all downregulated	1
CCDC173	all downregulated	1
CCDC183-AS1	all downregulated	1
CCDC189	all downregulated	1
CCDC28B	all downregulated	1
CCDC34	all downregulated	1
CCDC58	all downregulated	1
CCDC59	all downregulated	1
CCDC7	all downregulated	1
CCDC85B	all downregulated	1
CCDC86	all downregulated	1
CCHCR1	all downregulated	1
CCKAR	all downregulated	1
CCNA2	all downregulated	1
CCNB1	all downregulated	1
CCNB2	all downregulated	1
CCNC	all downregulated	1
CCND3	all downregulated	1
CCNE2	all downregulated	1
CCNF	all downregulated	1
CCNG1	all downregulated	1
CCNJ	all downregulated	1
CCNK	all downregulated	1
CCNQ	all downregulated	1
CCP110	all downregulated	1
CCR10	all downregulated	1
CCR6	all downregulated	1
CCT5	all downregulated	1
CD200R1	all downregulated	1
CD2AP	all downregulated	1
CD320	all downregulated	1
CD40	all downregulated	1
CD83	all downregulated	1
CDC14A	all downregulated	1
CDC20	all downregulated	1
CDC25A	all downregulated	1
CDC25B	all downregulated	1
CDC25C	all downregulated	1
CDC26	all downregulated	1
CDC40	all downregulated	1
CDC45	all downregulated	1
CDC6	all downregulated	1
CDC7	all downregulated	1
CDCA2	all downregulated	1
CDCA3	all downregulated	1
CDCA4	all downregulated	1
CDCA5	all downregulated	1
CDCA7	all downregulated	1
CDCA7L	all downregulated	1
CDCA8	all downregulated	1
CDH11	all downregulated	1
CDH4	all downregulated	1
CDK1	all downregulated	1
CDK2	all downregulated	1
CDK2AP1	all downregulated	1
CDK2AP2	all downregulated	1
CDK4	all downregulated	1
CDK5RAP2	all downregulated	1
CDKL1	all downregulated	1
CDKN1B	all downregulated	1
CDKN2A	all downregulated	1
CDKN2AIP	all downregulated	1
CDKN2B-AS1	all downregulated	1
CDKN2C	all downregulated	1
CDKN3	all downregulated	1
CDON	all downregulated	1
CDR2	all downregulated	1
CDT1	all downregulated	1
CEBPA	all downregulated	1
CEBPA-DT	all downregulated	1
CELSR1	all downregulated	1
CELSR2	all downregulated	1
CENPA	all downregulated	1
CENPB	all downregulated	1
CENPC	all downregulated	1
CENPE	all downregulated	1
CENPF	all downregulated	1
CENPH	all downregulated	1
CENPI	all downregulated	1
CENPK	all downregulated	1
CENPL	all downregulated	1
CENPM	all downregulated	1
CENPN	all downregulated	1
CENPO	all downregulated	1
CENPQ	all downregulated	1
CENPS	all downregulated	1
CENPU	all downregulated	1
CENPV	all downregulated	1
CENPW	all downregulated	1
CENPX	all downregulated	1
CEP131	all downregulated	1
CEP135	all downregulated	1
CEP152	all downregulated	1
CEP192	all downregulated	1
CEP20	all downregulated	1
CEP250	all downregulated	1
CEP43	all downregulated	1
CEP55	all downregulated	1
CEP57	all downregulated	1
CEP76	all downregulated	1
CEP78	all downregulated	1
CEP85	all downregulated	1
CEP85L	all downregulated	1
CFAP20DC	all downregulated	1
CFAP91	all downregulated	1
CFAP92	all downregulated	1
CFAP97	all downregulated	1
CFDP1	all downregulated	1
CGN	all downregulated	1
CHAC2	all downregulated	1
CHAF1A	all downregulated	1
CHAF1B	all downregulated	1
CHCHD2	all downregulated	1
CHCHD2P2	all downregulated	1
CHCHD2P9	all downregulated	1
CHCHD3	all downregulated	1
CHCHD3P3	all downregulated	1
CHCHD4	all downregulated	1
CHCHD5	all downregulated	1
CHD1	all downregulated	1
CHEK1	all downregulated	1
CHMP2A	all downregulated	1
CHN1	all downregulated	1
CHORDC1	all downregulated	1
CHPT1	all downregulated	1
CHRAC1	all downregulated	1
CHRNA5	all downregulated	1
CHST14	all downregulated	1
CIAO2A	all downregulated	1
CIB1	all downregulated	1
CINP	all downregulated	1
CIP2A	all downregulated	1
CIRBP-AS1	all downregulated	1
CISD3	all downregulated	1
CISH	all downregulated	1
CIT	all downregulated	1
CKAP2	all downregulated	1
CKAP2L	all downregulated	1
CKAP5	all downregulated	1
CKS1B	all downregulated	1
CKS2	all downregulated	1
CLGN	all downregulated	1
CLIC4	all downregulated	1
CLN6	all downregulated	1
CLPP	all downregulated	1
CLSPN	all downregulated	1
CMBL	all downregulated	1
CMC2	all downregulated	1
CMC4	all downregulated	1
CMTM4	all downregulated	1
CNIH3	all downregulated	1
CNIH4	all downregulated	1
CNOT10	all downregulated	1
CNOT7	all downregulated	1
CNOT9	all downregulated	1
CNRIP1	all downregulated	1
CNTLN	all downregulated	1
CNTNAP2	all downregulated	1
CNTROB	all downregulated	1
COA1	all downregulated	1
COA7	all downregulated	1
COASY	all downregulated	1
COIL	all downregulated	1
COLGALT1	all downregulated	1
COMMD4	all downregulated	1
COMMD8	all downregulated	1
COPRS	all downregulated	1
COPS3	all downregulated	1
COPS6	all downregulated	1
COPZ2	all downregulated	1
COQ10A	all downregulated	1
COQ2	all downregulated	1
COQ3	all downregulated	1
CORO1C	all downregulated	1
CORO6	all downregulated	1
COX17	all downregulated	1
COX18	all downregulated	1
COX8A	all downregulated	1
CPSF2	all downregulated	1
CPSF3	all downregulated	1
CPSF7	all downregulated	1
CREB3L2	all downregulated	1
CRH	all downregulated	1
CRIP1	all downregulated	1
CRISPLD1	all downregulated	1
CRKL	all downregulated	1
CRLF3	all downregulated	1
CRNDE	all downregulated	1
CRTAP	all downregulated	1
CRY1	all downregulated	1
CRYBG3	all downregulated	1
CRYZ	all downregulated	1
CS	all downregulated	1
CSE1L	all downregulated	1
CSF1	all downregulated	1
CSNK2A3	all downregulated	1
CSPG4	all downregulated	1
CSTF2	all downregulated	1
CTBP1-DT	all downregulated	1
CTBP2P1	all downregulated	1
CTCF	all downregulated	1
CTDNEP1	all downregulated	1
CTDSP1	all downregulated	1
CTDSPL	all downregulated	1
CTDSPL2	all downregulated	1
CTNNAL1	all downregulated	1
CTNNBL1	all downregulated	1
CTPS1	all downregulated	1
CUTC	all downregulated	1
CWC22	all downregulated	1
CWF19L1	all downregulated	1
CXCL16	all downregulated	1
CXXC1	all downregulated	1
CYB5A	all downregulated	1
CYB5B	all downregulated	1
CYB5RL	all downregulated	1
CYC1	all downregulated	1
CYP1B1	all downregulated	1
CYP4F26P	all downregulated	1
CYP51A1	all downregulated	1
CYP51A1P1	all downregulated	1
CYREN	all downregulated	1
CYRIB	all downregulated	1
DAG1	all downregulated	1
DARS1	all downregulated	1
DARS2	all downregulated	1
DAXX	all downregulated	1
DAZAP1	all downregulated	1
DBF4	all downregulated	1
