gene	condition	cluster_v2
DNAH1	PB+RA upregulated cluster	4
DNAH3	PB+RA upregulated cluster	4
DNAH6	PB+RA upregulated cluster	4
DNAI4	PB+RA upregulated cluster	4
DNAJA1P5	PB+RA upregulated cluster	4
DNASE1	PB+RA upregulated cluster	4
DNER	PB+RA upregulated cluster	4
DNM3	PB+RA upregulated cluster	4
DOCK3	PB+RA upregulated cluster	4
DOCK6	PB+RA upregulated cluster	4
DOCK8	PB+RA upregulated cluster	4
DOP1B	PB+RA upregulated cluster	4
DPP6	PB+RA upregulated cluster	4
DPYSL4	PB+RA upregulated cluster	4
DRP2	PB+RA upregulated cluster	4
DSCR4	PB+RA upregulated cluster	4
DST	PB+RA upregulated cluster	4
DSTYK	PB+RA upregulated cluster	4
DTNA	PB+RA upregulated cluster	4
DUSP15	PB+RA upregulated cluster	4
DUSP18	PB+RA upregulated cluster	4
DUSP5	PB+RA upregulated cluster	4
DUX4L50	PB+RA upregulated cluster	4
DYDC2	PB+RA upregulated cluster	4
DYNC1I2	PB+RA upregulated cluster	4
DYNC1I2P1	PB+RA upregulated cluster	4
DYNC1LI2	PB+RA upregulated cluster	4
DZIP3	PB+RA upregulated cluster	4
ECI2-DT	PB+RA upregulated cluster	4
EDA	PB+RA upregulated cluster	4
EDIL3	PB+RA upregulated cluster	4
EEF1A1P23	PB+RA upregulated cluster	4
EFCAB6	PB+RA upregulated cluster	4
EGFLAM	PB+RA upregulated cluster	4
EGFR	PB+RA upregulated cluster	4
EGR1	PB+RA upregulated cluster	4
EGR3	PB+RA upregulated cluster	4
EIF2AK3-DT	PB+RA upregulated cluster	4
EIF4E3	PB+RA upregulated cluster	4
ELAPOR1	PB+RA upregulated cluster	4
ELAVL4	PB+RA upregulated cluster	4
ELFN1	PB+RA upregulated cluster	4
ELMO2	PB+RA upregulated cluster	4
ELOVL7	PB+RA upregulated cluster	4
EMCN	PB+RA upregulated cluster	4
ENDOD1	PB+RA upregulated cluster	4
ENDOV	PB+RA upregulated cluster	4
ENPP4	PB+RA upregulated cluster	4
ENPP7P8	PB+RA upregulated cluster	4
EPB41L3	PB+RA upregulated cluster	4
EPHB2	PB+RA upregulated cluster	4
EPS15	PB+RA upregulated cluster	4
ERBB2	PB+RA upregulated cluster	4
ERCC2	PB+RA upregulated cluster	4
ERICD	PB+RA upregulated cluster	4
ERMAP	PB+RA upregulated cluster	4
ERN1	PB+RA upregulated cluster	4
ERV3-1	PB+RA upregulated cluster	4
ERVFRD-1	PB+RA upregulated cluster	4
ETHE1	PB+RA upregulated cluster	4
EVA1A	PB+RA upregulated cluster	4
EVC	PB+RA upregulated cluster	4
EXOC1L	PB+RA upregulated cluster	4
EXOC6B	PB+RA upregulated cluster	4
EXOG	PB+RA upregulated cluster	4
EXPH5	PB+RA upregulated cluster	4
EYS	PB+RA upregulated cluster	4
F2R	PB+RA upregulated cluster	4
F8	PB+RA upregulated cluster	4
FAAH2	PB+RA upregulated cluster	4
FADS3	PB+RA upregulated cluster	4
FAHD2B	PB+RA upregulated cluster	4
FAHD2CP	PB+RA upregulated cluster	4
FAM117B	PB+RA upregulated cluster	4
FAM131B	PB+RA upregulated cluster	4
FAM133A	PB+RA upregulated cluster	4
FAM155B	PB+RA upregulated cluster	4
FAM160A1	PB+RA upregulated cluster	4
FAM161B	PB+RA upregulated cluster	4
FAM163A	PB+RA upregulated cluster	4
FAM171A1	PB+RA upregulated cluster	4
FAM189A2	PB+RA upregulated cluster	4
FAM20C	PB+RA upregulated cluster	4
FAM220A	PB+RA upregulated cluster	4
FAM221A	PB+RA upregulated cluster	4
FAM241A	PB+RA upregulated cluster	4
FAM66C	PB+RA upregulated cluster	4
FAM66D	PB+RA upregulated cluster	4
FAM66E	PB+RA upregulated cluster	4
FAM86DP	PB+RA upregulated cluster	4
FAR2P1	PB+RA upregulated cluster	4
FAT2	PB+RA upregulated cluster	4
FBXL13	PB+RA upregulated cluster	4
FBXO27	PB+RA upregulated cluster	4
FBXO30-DT	PB+RA upregulated cluster	4
FER1L4	PB+RA upregulated cluster	4
FEZ1	PB+RA upregulated cluster	4
FGD5	PB+RA upregulated cluster	4
FGD6	PB+RA upregulated cluster	4
FGF13	PB+RA upregulated cluster	4
FGF5	PB+RA upregulated cluster	4
FGFR3	PB+RA upregulated cluster	4
FGGY	PB+RA upregulated cluster	4
FHDC1	PB+RA upregulated cluster	4
FHL3	PB+RA upregulated cluster	4
FIG4	PB+RA upregulated cluster	4
FIGNL2-DT	PB+RA upregulated cluster	4
FKBP1B	PB+RA upregulated cluster	4
FKBP4P1	PB+RA upregulated cluster	4
FLJ22447	PB+RA upregulated cluster	4
FLNB	PB+RA upregulated cluster	4
FLRT1	PB+RA upregulated cluster	4
FMNL2	PB+RA upregulated cluster	4
FMNL3	PB+RA upregulated cluster	4
FNBP1L	PB+RA upregulated cluster	4
FNDC3B	PB+RA upregulated cluster	4
FNDC4	PB+RA upregulated cluster	4
FNDC5	PB+RA upregulated cluster	4
FOCAD	PB+RA upregulated cluster	4
FOS	PB+RA upregulated cluster	4
FOXO3	PB+RA upregulated cluster	4
FOXO4	PB+RA upregulated cluster	4
FRY	PB+RA upregulated cluster	4
FSD1L	PB+RA upregulated cluster	4
FSTL1	PB+RA upregulated cluster	4
FSTL3	PB+RA upregulated cluster	4
FTCDNL1	PB+RA upregulated cluster	4
FUCA1	PB+RA upregulated cluster	4
FUT8-AS1	PB+RA upregulated cluster	4
FXYD7	PB+RA upregulated cluster	4
GAB2	PB+RA upregulated cluster	4
GABARAPL1	PB+RA upregulated cluster	4
GABPB1-IT1	PB+RA upregulated cluster	4
GABRA3	PB+RA upregulated cluster	4
GAL	PB+RA upregulated cluster	4
GAL3ST4	PB+RA upregulated cluster	4
